????;1 ????;?? 2 ?? 7 ??.;?? 8 ?? 30 ??.;?? 31 ?? 90 ??.;?? 91 ?? 180 ??.;?? 181 ??. ?? 1 ????
?????? 2023 ?.;14,81;—;—;—;—;—
??????? 2023 ?.;12,87;—;—;—;—;—
???????? 2023 ?.;12,11;—;—;—;—;—
?????? 2023 ?.;10,27;—;—;—;—;—
???? 2023 ?.;7,71;—;—;—;—;—
???? 2023 ?.;7,26;—;—;—;—;—
??? 2023 ?.;7,12;—;—;—;—;—
?????? 2023 ?.;7,11;—;—;—;—;—
???? 2023 ?.;7,30;—;—;—;—;—
??????? 2023 ?.;7,07;—;—;—;—;—
?????? 2023 ?.;6,91;—;—;—;—;—
??????? 2022 ?.;7,23;—;—;—;—;—
?????? 2022 ?.;7,27;—;—;—;—;—
??????? 2022 ?.;7,66;—;—;—;—;—
???????? 2022 ?.;7,76;—;—;—;—;—
?????? 2022 ?.;7,98;—;—;—;—;—
???? 2022 ?.;9,36;—;—;—;—;—
???? 2022 ?.;10,52;—;—;—;—;—
??? 2022 ?.;—;—;—;—;—;—
?????? 2022 ?.;19,37;—;—;—;—;—
???? 2022 ?.;21,21;—;—;—;—;—
??????? 2022 ?.;9,62;—;—;—;—;—
?????? 2022 ?.;8,30;—;—;—;—;—
??????? 2021 ?.;7,53;—;—;—;—;—
?????? 2021 ?.;7,29;7,65;—;—;—;—
??????? 2021 ?.;6,89;—;—;—;—;—
???????? 2021 ?.;6,70;—;—;—;—;—
?????? 2021 ?.;6,39;—;—;—;—;—
???? 2021 ?.;5,93;—;—;—;—;—
???? 2021 ?.;5,36;—;—;—;—;—
??? 2021 ?.;4,93;—;—;5,35;—;—
?????? 2021 ?.;4,62;—;—;—;—;—
???? 2021 ?.;4,24;—;—;—;—;—
??????? 2021 ?.;4,27;—;—;—;—;—
?????? 2021 ?.;4,41;—;—;—;—;—
??????? 2020 ?.;4,30;—;—;—;—;—
?????? 2020 ?.;4,26;—;—;—;—;—
??????? 2020 ?.;4,25;—;—;—;—;—
???????? 2020 ?.;4,20;—;—;—;—;—
?????? 2020 ?.;4,15;—;—;—;—;—
???? 2020 ?.;4,27;—;—;—;—;—
???? 2020 ?.;5,01;—;—;—;—;—
??? 2020 ?.;5,43;—;—;—;—;—
?????? 2020 ?.;5,86;—;—;—;—;—
???? 2020 ?.;5,87;—;—;—;—;—
??????? 2020 ?.;5,90;—;—;—;—;—
?????? 2020 ?.;6,02;—;—;—;—;—
??????? 2019 ?.;6,30;—;—;—;—;—
?????? 2019 ?.;6,31;—;—;—;—;—
??????? 2019 ?.;6,82;—;—;—;—;—
???????? 2019 ?.;6,84;—;—;—;—;—
?????? 2019 ?.;7,07;—;—;—;—;—
???? 2019 ?.;7,38;—;—;—;—;—
???? 2019 ?.;7,54;—;—;—;—;—
??? 2019 ?.;7,64;—;—;—;—;—
?????? 2019 ?.;7,70;—;—;8,96;—;—
???? 2019 ?.;7,65;—;—;—;—;—
??????? 2019 ?.;7,59;—;—;—;—;—
?????? 2019 ?.;7,72;—;—;—;—;—
??????? 2018 ?.;7,59;—;7,88;—;—;—
?????? 2018 ?.;7,34;—;—;—;—;—
??????? 2018 ?.;7,31;7,25;—;—;—;—
???????? 2018 ?.;7,28;—;—;8,00;—;—
?????? 2018 ?.;7,16;—;—;—;—;—
???? 2018 ?.;7,28;—;—;—;—;—
???? 2018 ?.;7,18;—;—;—;—;—
??? 2018 ?.;7,18;—;—;—;—;—
?????? 2018 ?.;7,19;—;—;—;—;—
???? 2018 ?.;7,37;—;—;—;—;—
??????? 2018 ?.;7,22;—;—;—;—;—
?????? 2018 ?.;7,22;—;—;—;—;—
??????? 2017 ?.;7,98;—;—;—;—;—
?????? 2017 ?.;8,15;—;—;—;—;—
??????? 2017 ?.;8,24;—;—;—;—;—
???????? 2017 ?.;8,57;8,71;—;—;—;—
?????? 2017 ?.;8,75;—;—;9,25;—;—
???? 2017 ?.;9,09;—;—;—;—;—
???? 2017 ?.;9,32;—;—;—;—;—
??? 2017 ?.;9,57;—;—;—;—;—
?????? 2017 ?.;9,93;—;—;—;—;—
???? 2017 ?.;10,18;—;—;—;—;—
??????? 2017 ?.;10,32;—;—;—;—;—
?????? 2017 ?.;10,34;—;—;—;—;—
??????? 2016 ?.;10,41;—;—;—;—;—
?????? 2016 ?.;10,25;10,53;—;—;—;—
??????? 2016 ?.;10,56;10,91;12,58;—;—;—
???????? 2016 ?.;10,36;11,09;—;11,00;—;—
?????? 2016 ?.;10,48;10,81;—;—;—;—
???? 2016 ?.;10,60;11,42;13,64;—;—;—
???? 2016 ?.;10,77;10,98;12,66;—;—;—
??? 2016 ?.;11,09;—;—;—;—;—
?????? 2016 ?.;10,74;—;—;—;—;—
???? 2016 ?.;11,00;—;—;—;—;—
??????? 2016 ?.;10,90;—;—;—;—;—
?????? 2016 ?.;11,16;—;—;13,20;—;—
??????? 2015 ?.;11,33;11,25;—;14,50;—;—
?????? 2015 ?.;11,67;—;—;13,55;—;—
??????? 2015 ?.;11,66;—;—;14,13;—;—
???????? 2015 ?.;11,56;—;—;13,05;—;—
?????? 2015 ?.;11,08;—;—;14,68;—;—
???? 2015 ?.;11,63;—;—;14,12;—;—
???? 2015 ?.;12,68;—;16,50;14,48;—;—
??? 2015 ?.;12,98;14,53;13,29;13,60;—;—
?????? 2015 ?.;14,58;—;14,63;14,63;—;—
???? 2015 ?.;15,06;—;16,00;—;—;—
??????? 2015 ?.;15,31;16,14;16,38;16,04;—;—
?????? 2015 ?.;17,17;19,92;21,04;—;18,00;—
??????? 2014 ?.;16,45;15,60;18,23;18,02;25,00;18,00
?????? 2014 ?.;10,54;12,16;12,96;11,28;—;—
??????? 2014 ?.;8,48;10,62;11,76;12,07;—;—
???????? 2014 ?.;8,18;11,27;11,21;10,34;11,76;—
?????? 2014 ?.;8,18;12,40;11,17;10,68;12,00;—
???? 2014 ?.;8,39;10,99;9,69;9,18;12,00;—
???? 2014 ?.;8,41;10,03;9,55;9,16;11,00;—
??? 2014 ?.;8,38;10,65;9,35;11,26;—;—
?????? 2014 ?.;8,00;9,91;9,61;9,40;—;—
???? 2014 ?.;7,97;8,28;8,00;9,08;—;—
??????? 2014 ?.;6,04;6,51;7,25;9,10;—;—
?????? 2014 ?.;6,05;6,82;9,08;7,30;—;—
??????? 2013 ?.;6,59;7,11;7,17;7,75;—;7,23
?????? 2013 ?.;6,19;6,54;7,29;8,13;7,25;7,21
??????? 2013 ?.;6,02;6,88;7,03;8,00;—;—
???????? 2013 ?.;6,24;6,90;7,66;7,77;—;7,17
?????? 2013 ?.;6,09;6,65;7,17;8,07;7,75;7,20
???? 2013 ?.;6,03;6,79;7,05;8,00;7,30;—
???? 2013 ?.;6,40;6,73;7,30;8,09;7,35;7,10
??? 2013 ?.;6,34;6,79;7,29;8,29;—;—
?????? 2013 ?.;6,21;6,43;7,11;7,94;10,00;11,00
???? 2013 ?.;6,15;6,24;7,35;8,40;7,62;—
??????? 2013 ?.;5,69;5,93;7,25;8,50;—;3,00
?????? 2013 ?.;5,42;5,65;7,02;6,78;—;—
??????? 2012 ?.;6,34;6,73;7,50;8,27;9,88;3,00
?????? 2012 ?.;6,24;6,70;7,41;8,60;8,55;—
??????? 2012 ?.;6,28;6,76;7,28;8,06;10,00;10,00
???????? 2012 ?.;5,73;6,67;7,95;7,63;9,29;9,50
?????? 2012 ?.;5,60;6,33;6,92;7,31;7,75;9,70
???? 2012 ?.;5,86;6,66;7,09;7,79;—;—
???? 2012 ?.;6,01;6,89;7,00;8,30;8,90;8,00
??? 2012 ?.;6,00;6,19;7,50;7,18;9,25;—
?????? 2012 ?.;5,60;5,63;6,62;7,94;—;—
???? 2012 ?.;5,36;5,82;6,23;7,75;8,43;—
??????? 2012 ?.;4,55;4,96;6,70;7,98;8,70;12,00
?????? 2012 ?.;4,97;5,10;6,79;8,09;8,91;—
??????? 2011 ?.;5,68;6,21;7,12;7,65;—;—
?????? 2011 ?.;5,29;5,63;6,41;6,71;8,70;12,00
??????? 2011 ?.;5,18;5,71;6,18;6,35;—;—
???????? 2011 ?.;4,69;4,77;5,93;6,60;—;—
?????? 2011 ?.;4,17;4,59;4,57;5,43;5,50;—
???? 2011 ?.;3,98;4,22;4,50;5,67;6,50;—
???? 2011 ?.;3,85;4,06;4,41;5,61;5,00;—
??? 2011 ?.;3,86;4,16;4,29;4,95;7,20;6,01
?????? 2011 ?.;3,29;3,43;3,71;6,23;—;—
???? 2011 ?.;3,22;3,37;3,54;5,40;6,06;—
??????? 2011 ?.;2,93;3,25;3,45;6,38;—;—
?????? 2011 ?.;2,74;4,37;6,25;6,65;—;—
??????? 2010 ?.;3,04;3,63;7,78;7,00;9,00;9,00
?????? 2010 ?.;3,31;3,39;5,89;5,20;6,30;—
??????? 2010 ?.;2,95;3,14;6,43;5,69;—;—
???????? 2010 ?.;2,82;3,14;6,19;5,79;7,60;8,00
?????? 2010 ?.;2,73;3,02;6,29;4,94;—;—
???? 2010 ?.;2,78;3,36;7,93;6,51;—;—
???? 2010 ?.;2,74;3,43;6,18;5,71;—;9,56
??? 2010 ?.;2,98;3,78;6,41;4,80;7,30;—
?????? 2010 ?.;3,56;4,15;7,26;6,61;4,60;5,56
???? 2010 ?.;3,73;4,39;7,01;5,29;12,00;—
??????? 2010 ?.;3,84;5,31;7,81;9,75;12,00;—
?????? 2010 ?.;3,96;4,62;9,73;7,50;—;—
